State,Increase/Decrease,Overall Percent Change
NV,Decrease,-1
AL,Increase,21.9
NE,Increase,16.2
NH,Increase,48.3
NJ,Increase,19.2
NM,Increase,18.3
NY,Increase,28.8
NC,Increase,12.7
ND,Increase,57.6
OH,Increase,36
OK,Increase,37.6
MT,Increase,38
OR,Increase,28.2
RI,Increase,34.1
SC,Increase,38.3
SD,Increase,44.5
TN,Increase,24.2
TX,Increase,18.9
UT,Increase,46.5
VT,Increase,48.6
VA,Increase,17.4
WA,Increase,18.8
WV,Increase,37.1
PA,Increase,34.3
WI,Increase,25.8
MO,Increase,36.4
MN,Increase,40.6
AK,Increase,37.4
AZ,Increase,17.3
AR,Increase,36.8
CA,Increase,14.8
CO,Increase,34.1
CT,Increase,19.2
DE,Increase,5.9
DC,Increase,16.1
FL,Increase,10.6
GA,Increase,16.2
MS,Increase,17.8
HI,Increase,18.3
IL,Increase,22.8
IN,Increase,31.9
IA,Increase,36.2
KS,Increase,45
KY,Increase,36.6
LA,Increase,29.3
ME,Increase,27.4
MD,Increase,8.5
MA,Increase,35.3
MI,Increase,32.9
ID,Increase,43.2
WY,Increase,39
