ISO-Codes,Increase/Decrease,Overall Percent Change,State Name,Test,Check
AK,Increase,37.4,Alaska,AK,1
AL,Increase,21.9,Alabama,AL ,1
AR,Increase,36.8,Arkansas,AR ,1
AZ,Increase,17.3,Arizona,AZ ,1
CA,Increase,14.8,California,CA ,1
CO,Increase,34.1,Colorado,CO ,1
CT,Increase,19.2,Connecticut,CT ,1
DC,Increase,16.1,District of Columbia,DC ,1
DE,Increase,5.9,Delaware,DE ,1
FL,Increase,10.6,Florida,FL ,1
GA,Increase,16.2,Georgia,GA ,1
HI,Increase,18.3,Hawaii,HI ,1
IA,Increase,36.2,Iowa,IA ,1
ID,Increase,43.2,Idaho,ID ,1
IL,Increase,22.8,Illinois,IL ,1
IN,Increase,31.9,Indiana,IN ,1
KS,Increase,45,Kansas,KS ,1
KY,Increase,36.6,Kentucky,KY ,1
LA,Increase,29.3,Louisiana,LA ,1
MA,Increase,35.3,Massachusetts,MA ,1
MD,Increase,8.5,Maryland,MD ,1
ME,Increase,27.4,Maine,ME ,1
MI,Increase,32.9,Michigan,MI ,1
MN,Increase,40.6,Minnesota,MN ,1
MO,Increase,36.4,Missouri,MO ,1
MS,Increase,17.8,Mississippi,MS ,1
MT,Increase,38,Montana,MT ,1
Nationwide,Increase,25.4,,,
NC,Increase,12.7,North Carolina,NC ,1
ND,Increase,57.6,North Dakota,ND ,1
NE,Increase,16.2,Nebraska,NE ,1
NH,Increase,48.3,New Hampshire,NH ,1
NJ,Increase,19.2,New Jersey,NJ ,1
NM,Increase,18.3,New Mexico,NM ,1
NV,Decrease,-1,Nevada,NV ,1
NY,Increase,28.8,New York,NY ,1
OH,Increase,36,Ohio,OH ,1
OK,Increase,37.6,Oklahoma,OK ,1
OR,Increase,28.2,Oregon,OR ,1
PA,Increase,34.3,Pennsylvania,PA ,1
RI,Increase,34.1,Rhode Island,RI ,1
SC,Increase,38.3,South Carolina,SC ,1
SD,Increase,44.5,South Dakota,SD ,1
TN,Increase,24.2,Tennessee,TN ,1
TX,Increase,18.9,Texas,TX ,1
UT,Increase,46.5,Utah,UT ,1
VA,Increase,17.4,Virginia,VA ,1
VT,Increase,48.6,Vermont,VT ,1
WA,Increase,18.8,Washington,WA ,1
WI,Increase,25.8,Wisconsin,WI ,1
WV,Increase,37.1,West Virginia,WV ,1
WY,Increase,39,Wyoming,WY ,1
